"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels","Alpha",
"1769.132 23","A  D  GH JKL N","2+","130 fs +42-28","239.33 17 ?,    397.75 26 ,    476.43 10 ,    535.44 12 ,    683.25 9 ,    728.03 4 ,    805.71 9 ,    958.63 5 ,   1084.36 14 ,   1647.44 12 ,   1769.09 5","<27,       1.9 3 ,       8.6 16 ,       8.8 7 ,      24.1 14 ,      56.5 19 ,      77 3 ,     100 6 ,      54 4 ,      36.9 18 ,      47.3 11","[E1], [E2], [M1,E2], [M1,E2], [M1,E2], [E1], [E1], [M1,E2], [E2], E2(+M1), E2","1529.802,    1371.735,    1292.773,    1233.863,    1085.841,    1041.122,     963.358,     810.453,     684.751,     121.7818,       0.0","2-, 4+, 2+, 3+, 2+, 3-, 1-, 2+, 0+, 2+, 0+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1776.56 5","A  D     JKLM","(2+)","< 15 ps","735.43 8 ,    813.20 6","100,      93 7","D,E2, D,E2","1041.122,     963.358","3-, 1-","",
"1779.119 25","D     JK","3-","56 fs +11-9","737.84 7 ,    756.16 5 ,    968.64 4","11.2 21 ,      56 6 ,     100 3","[M1,E2], [E1], [E1]","1041.122,    1022.970,     810.453","3-, 4+, 2+","",
"1803.94 5","BC  F   JK M","5-","","432.1 2 ,    762.2 3 ,    780.8 1 ,   1097.1 1 ,   1437.5 1","5.7 4 ,       0.7 3 ,      14.7 9 ,     100 5 ,      79 4",", , , E1, E1","1371.735,    1041.122,    1022.970,     706.928,     366.4793","4+, 3-, 4+, 6+, 4+","",
"1822.03 21","D F   JK","(4-)","","588.6 3 ,    780.9,   1455.1 3","16 6 ,      16.3 24 ,     100 6",", ,","1233.863,    1041.122,     366.4793","3+, 3-, 4+","",
"1879.14 4","F    K","9-","","269.8 4 ,    373.7 4 ,    753.83 3","15,       0.70 15 ,     100 3",", , E1","1609.26,    1505.77,    1125.39","10+, 7-, 8+","",
"1891.06 6","F   JK M","5+","","134.73 21 ,    331.5 5 ,    519.90 20 ,    657.39 23 ,   1183.95 9 ,   1524.47 10","56 8 ,      65 19 ,     100 8 ,      85 7 ,  ,",", , , , ,","1757.001,    1559.62,    1371.735,    1233.863,     706.928,     366.4793","4+, 5+, 4+, 3+, 6+, 4+","",
"1892.48 5","A        JK M","0+,1,2","","929.12 5 ,   1080.7 11","100 10 ,      40 10",",","963.358,     810.453","1-, 2+","",
"1901 2","G    L N","(2+)","","","","","","","",
"1906.13 3","JK  N","2+","","255.96 15 ,    376.24 8 ,    672.5 6 ,    820.31 7 ,    865.04 6 ,    942.85 6 ,   1784.27 7 ,   1906.14 7",",  ,       2.8 6 ,  ,  ,       8.5 12 ,     100 8 ,",", , , , , , ,","1649.831,    1529.802,    1233.863,    1085.841,    1041.122,     963.358,     121.7818,       0.0","2-, 2-, 3+, 2+, 3-, 1-, 2+, 0+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1907.73 4","JK","(3+)","","821.0 6 ,    884.76 10 ,   1096.95 22 ,   1541.24 7 ,   1785.97 6","22 3 ,      21.6 21 ,      98 6 ,      60 5 ,     100 16",", , , ,","1085.841,    1022.970,     810.453,     366.4793,     121.7818","2+, 4+, 2+, 4+, 2+","",
"1920.46 5","C  F   JK M","6-","","116.51 6 ,    360.90 7 ,   1213.4 3","66 7 ,     100 9 ,      38 8","M1+E2, ,","1803.94,    1559.62,     706.928","5-, 5+, 6+","",
"1929.93 6","F   JK","6-","","370.24 6 ,   1223.16 9","23.1 19 ,     100 6","E1,","1559.62,     706.928","5+, 6+","",
"1930.17 13","G","","","","","","","","",
"1933.30 5","J","(4+,5,6+)","","910.38 7 ,   1226.32 7 ,   1566.82 8",",  ,",", ,","1022.970,     706.928,     366.4793","4+, 6+, 4+","",
"1944.61 4","A        JK","1-,2","","861.7 8 ,    903.50 5 ,    981.24 5","7 7 ,      50 7 ,     100 7",", ,","1082.842,    1041.122,     963.358","0+, 3-, 1-","",
"1945.10 3","A        JK","1,2+","","652.31 6 ,    862.26 5 ,   1260.41 7 ,   1823.22 7 ,   1945.15 10","67 33 ,  ,     100 33 ,  ,",", , , ,","1292.773,    1082.842,     684.751,     121.7818,       0.0","2+, 0+, 0+, 2+, 0+","",
