 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Helium500Torr.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   1.630E+01  3.564E-02    3.27 mm    81.43 um    58.66 um  
  35.00 MeV   1.636E+01  3.349E-02    3.42 mm    84.29 um    59.11 um  
  37.50 MeV   1.638E+01  3.159E-02    3.57 mm    87.05 um    59.53 um  
  40.00 MeV   1.636E+01  2.991E-02    3.72 mm    89.73 um    59.93 um  
  45.00 MeV   1.626E+01  2.707E-02    4.03 mm    99.70 um    60.69 um  
  50.00 MeV   1.608E+01  2.474E-02    4.34 mm   108.90 um    61.42 um  
  55.00 MeV   1.586E+01  2.281E-02    4.65 mm   117.59 um    62.11 um  
  60.00 MeV   1.561E+01  2.118E-02    4.97 mm   125.91 um    62.78 um  
  65.00 MeV   1.535E+01  1.977E-02    5.29 mm   133.98 um    63.44 um  
  70.00 MeV   1.507E+01  1.855E-02    5.62 mm   141.84 um    64.10 um  
  80.00 MeV   1.451E+01  1.654E-02    6.29 mm   171.10 um    65.39 um  
  90.00 MeV   1.397E+01  1.494E-02    7.00 mm   197.86 um    66.69 um  
 100.00 MeV   1.356E+01  1.364E-02    7.72 mm   222.98 um    68.00 um  
 110.00 MeV   1.304E+01  1.256E-02    8.47 mm   247.07 um    69.34 um  
 120.00 MeV   1.261E+01  1.164E-02    9.25 mm   270.59 um    70.72 um  
 130.00 MeV   1.220E+01  1.086E-02   10.06 mm   293.65 um    72.14 um  
 140.00 MeV   1.183E+01  1.018E-02   10.89 mm   316.38 um    73.60 um  
 150.00 MeV   1.148E+01  9.584E-03   11.75 mm   338.88 um    75.11 um  
 160.00 MeV   1.116E+01  9.058E-03   12.63 mm   361.20 um    76.67 um  
 170.00 MeV   1.085E+01  8.590E-03   13.54 mm   383.41 um    78.28 um  
 180.00 MeV   1.057E+01  8.171E-03   14.47 mm   405.54 um    79.94 um  
 200.00 MeV   1.005E+01  7.449E-03   16.41 mm   489.69 um    83.42 um  
 225.00 MeV   9.488E+00  6.717E-03   18.97 mm   609.02 um    88.08 um  
 250.00 MeV   8.996E+00  6.122E-03   21.67 mm   719.32 um    93.07 um  
 275.00 MeV   8.559E+00  5.628E-03   24.52 mm   824.52 um    98.40 um  
 300.00 MeV   8.168E+00  5.212E-03   27.51 mm   926.67 um   104.05 um  
 325.00 MeV   7.814E+00  4.856E-03   30.64 mm     1.03 mm   110.02 um  
 350.00 MeV   7.490E+00  4.547E-03   33.91 mm     1.13 mm   116.31 um  
 375.00 MeV   7.192E+00  4.278E-03   37.31 mm     1.22 mm   122.90 um  
 400.00 MeV   6.915E+00  4.039E-03   40.86 mm     1.32 mm   129.81 um  
 450.00 MeV   6.415E+00  3.638E-03   48.36 mm     1.70 mm   144.54 um  
 500.00 MeV   5.975E+00  3.313E-03   56.44 mm     2.05 mm   160.49 um  
 550.00 MeV   5.582E+00  3.043E-03   65.09 mm     2.38 mm   177.66 um  
 600.00 MeV   5.229E+00  2.816E-03   74.35 mm     2.72 mm   196.07 um  
 650.00 MeV   4.912E+00  2.621E-03   84.21 mm     3.06 mm   215.74 um  
 700.00 MeV   4.625E+00  2.453E-03   94.70 mm     3.40 mm   236.69 um  
 800.00 MeV   4.134E+00  2.177E-03  117.57 mm     4.69 mm   282.52 um  
 900.00 MeV   3.736E+00  1.959E-03  143.02 mm     5.92 mm   333.64 um  
   1.00 GeV   3.419E+00  1.782E-03  171.00 mm     7.12 mm   389.95 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.8878E+00                keV / (ug/cm2) 
  2.8878E+00                MeV / (mg/cm2) 
  2.8878E+03                keV / (mg/cm2) 
  1.4386E+01                 eV / (1E15 atoms/cm2)
  1.4628E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
