 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Ice.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  22.50 MeV   3.170E+03  9.830E+00   12.70 um     4124 A      4697 A   
  25.00 MeV   3.202E+03  9.007E+00   13.48 um     4281 A      4752 A   
  27.50 MeV   3.218E+03  8.320E+00   14.26 um     4430 A      4801 A   
  30.00 MeV   3.221E+03  7.737E+00   15.03 um     4573 A      4848 A   
  32.50 MeV   3.216E+03  7.235E+00   15.80 um     4711 A      4891 A   
  35.00 MeV   3.203E+03  6.799E+00   16.58 um     4845 A      4933 A   
  37.50 MeV   3.186E+03  6.415E+00   17.36 um     4977 A      4972 A   
  40.00 MeV   3.165E+03  6.075E+00   18.15 um     5106 A      5011 A   
  45.00 MeV   3.115E+03  5.499E+00   19.74 um     5592 A      5084 A   
  50.00 MeV   3.058E+03  5.029E+00   21.35 um     6053 A      5155 A   
  55.00 MeV   2.998E+03  4.638E+00   23.00 um     6497 A      5223 A   
  60.00 MeV   2.936E+03  4.306E+00   24.69 um     6929 A      5290 A   
  65.00 MeV   2.875E+03  4.022E+00   26.40 um     7352 A      5357 A   
  70.00 MeV   2.815E+03  3.774E+00   28.16 um     7769 A      5423 A   
  80.00 MeV   2.701E+03  3.366E+00   31.78 um     9321 A      5556 A   
