 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Water_Liquid.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  9.2000E-01 g/cm3 = 9.2268E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 2.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 160.00 MeV   4.391E+00  2.157E-03   20.14 mm   779.45 um   301.15 um  
 170.00 MeV   4.185E+00  2.040E-03   22.47 mm   848.31 um   335.08 um  
 180.00 MeV   4.000E+00  1.936E-03   24.91 mm   918.07 um   370.52 um  
 200.00 MeV   3.683E+00  1.758E-03   30.12 mm     1.18 mm   445.81 um  
 225.00 MeV   3.361E+00  1.577E-03   37.22 mm     1.56 mm   547.88 um  
 250.00 MeV   3.100E+00  1.432E-03   44.96 mm     1.91 mm   658.36 um  
 275.00 MeV   2.884E+00  1.312E-03   53.32 mm     2.25 mm   776.86 um  
 300.00 MeV   2.701E+00  1.211E-03   62.28 mm     2.59 mm   903.01 um  
 325.00 MeV   2.546E+00  1.125E-03   71.80 mm     2.92 mm     1.04 mm  
 350.00 MeV   2.411E+00  1.050E-03   81.89 mm     3.26 mm     1.18 mm  
 375.00 MeV   2.294E+00  9.857E-04   92.51 mm     3.60 mm     1.32 mm  
 400.00 MeV   2.191E+00  9.287E-04  103.66 mm     3.93 mm     1.48 mm  
 450.00 MeV   2.017E+00  8.331E-04  127.44 mm     5.19 mm     1.80 mm  
 500.00 MeV   1.876E+00  7.559E-04  153.14 mm     6.35 mm     2.15 mm  
 550.00 MeV   1.761E+00  6.921E-04  180.64 mm     7.46 mm     2.52 mm  
 600.00 MeV   1.663E+00  6.386E-04  209.84 mm     8.55 mm     2.91 mm  
 650.00 MeV   1.581E+00  5.931E-04  240.66 mm     9.61 mm     3.31 mm  
 700.00 MeV   1.510E+00  5.538E-04  273.01 mm    10.66 mm     3.73 mm  
 800.00 MeV   1.394E+00  4.893E-04  341.93 mm    14.48 mm     4.62 mm  
 900.00 MeV   1.303E+00  4.387E-04  416.10 mm    17.91 mm     5.55 mm  
   1.00 GeV   1.231E+00  3.979E-04  495.02 mm    21.14 mm     6.53 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0870E-02                keV / (ug/cm2) 
  1.0870E-02                MeV / (mg/cm2) 
  1.0870E+01                keV / (mg/cm2) 
  1.0838E-01                 eV / (1E15 atoms/cm2)
  1.1269E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
