 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in  Havar.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   5.233E+02  5.005E-01    4.47 um     2414 A      3223 A   
   3.00 MeV   5.016E+02  4.654E-01    4.96 um     2562 A      3404 A   
   3.25 MeV   4.816E+02  4.351E-01    5.46 um     2713 A      3592 A   
   3.50 MeV   4.632E+02  4.088E-01    5.99 um     2867 A      3787 A   
   3.75 MeV   4.463E+02  3.857E-01    6.54 um     3025 A      3989 A   
   4.00 MeV   4.306E+02  3.652E-01    7.10 um     3186 A      4197 A   
   4.50 MeV   4.026E+02  3.305E-01    8.30 um     3714 A      4634 A   
   5.00 MeV   3.782E+02  3.022E-01    9.57 um     4238 A      5099 A   
   5.50 MeV   3.570E+02  2.786E-01   10.93 um     4762 A      5591 A   
   6.00 MeV   3.382E+02  2.586E-01   12.36 um     5289 A      6110 A   
   6.50 MeV   3.216E+02  2.415E-01   13.87 um     5822 A      6655 A   
   7.00 MeV   3.066E+02  2.266E-01   15.46 um     6360 A      7226 A   
   8.00 MeV   2.811E+02  2.021E-01   18.85 um     8189 A      8443 A   
   9.00 MeV   2.625E+02  1.825E-01   22.52 um     9917 A      9751 A   
  10.00 MeV   2.448E+02  1.666E-01   26.45 um     1.16 um     1.11 um  
  11.00 MeV   2.301E+02  1.534E-01   30.65 um     1.33 um     1.26 um  
  12.00 MeV   2.173E+02  1.423E-01   35.11 um     1.49 um     1.42 um  
  13.00 MeV   2.060E+02  1.327E-01   39.82 um     1.66 um     1.58 um  
  14.00 MeV   1.960E+02  1.244E-01   44.78 um     1.83 um     1.75 um  
  15.00 MeV   1.871E+02  1.171E-01   49.98 um     2.00 um     1.93 um  
  16.00 MeV   1.790E+02  1.107E-01   55.43 um     2.18 um     2.12 um  
  17.00 MeV   1.717E+02  1.050E-01   61.12 um     2.35 um     2.31 um  
  18.00 MeV   1.651E+02  9.989E-02   67.04 um     2.53 um     2.51 um  
