 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Aluminum.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   7.829E+01  4.530E-02   84.89 um     3.60 um     2.37 um  
  12.00 MeV   7.345E+01  4.196E-02   98.06 um     4.09 um     2.70 um  
  13.00 MeV   6.924E+01  3.910E-02  112.06 um     4.59 um     3.05 um  
  14.00 MeV   6.553E+01  3.662E-02  126.88 um     5.08 um     3.42 um  
  15.00 MeV   6.225E+01  3.445E-02  142.51 um     5.59 um     3.80 um  
  16.00 MeV   5.931E+01  3.254E-02  158.94 um     6.10 um     4.21 um  
  17.00 MeV   5.667E+01  3.084E-02  176.16 um     6.62 um     4.63 um  
  18.00 MeV   5.428E+01  2.932E-02  194.16 um     7.14 um     5.07 um  
  20.00 MeV   5.011E+01  2.670E-02  232.45 um     9.06 um     6.01 um  
  22.50 MeV   4.581E+01  2.404E-02  284.56 um    11.80 um     7.27 um  
  25.00 MeV   4.226E+01  2.189E-02  341.30 um    14.40 um     8.63 um  
  27.50 MeV   3.926E+01  2.011E-02  402.60 um    16.94 um    10.09 um  
  30.00 MeV   3.671E+01  1.860E-02  468.36 um    19.47 um    11.66 um  
  32.50 MeV   3.450E+01  1.732E-02  538.52 um    22.00 um    13.31 um  
  35.00 MeV   3.256E+01  1.621E-02  613.01 um    24.56 um    15.07 um  
  37.50 MeV   3.085E+01  1.524E-02  691.78 um    27.14 um    16.91 um  
  40.00 MeV   2.934E+01  1.438E-02  774.76 um    29.76 um    18.85 um  
  45.00 MeV   2.675E+01  1.294E-02  953.05 um    39.35 um    22.99 um  
  50.00 MeV   2.462E+01  1.177E-02    1.15 mm    48.38 um    27.48 um  
  55.00 MeV   2.284E+01  1.080E-02    1.36 mm    57.20 um    32.32 um  
  60.00 MeV   2.132E+01  9.988E-03    1.58 mm    65.97 um    37.48 um  
  65.00 MeV   2.001E+01  9.292E-03    1.83 mm    74.75 um    42.98 um  
  70.00 MeV   1.888E+01  8.692E-03    2.08 mm    83.59 um    48.79 um  
  80.00 MeV   1.698E+01  7.704E-03    2.64 mm   115.83 um    61.36 um  
  90.00 MeV   1.547E+01  6.926E-03    3.26 mm   145.89 um    75.15 um  
 100.00 MeV   1.424E+01  6.296E-03    3.93 mm   175.20 um    90.11 um  
 110.00 MeV   1.321E+01  5.775E-03    4.66 mm   204.34 um   106.21 um  
 120.00 MeV   1.234E+01  5.337E-03    5.44 mm   233.58 um   123.42 um  
 130.00 MeV   1.158E+01  4.963E-03    6.28 mm   263.07 um   141.70 um  
 140.00 MeV   1.093E+01  4.639E-03    7.16 mm   292.88 um   161.04 um  
 150.00 MeV   1.036E+01  4.357E-03    8.10 mm   323.06 um   181.40 um  
