 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron in  Havar.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   8.721E+01  7.054E-02   20.86 um     1.00 um     1.37 um  
   3.00 MeV   8.287E+01  6.547E-02   23.77 um     1.12 um     1.53 um  
   3.25 MeV   7.901E+01  6.113E-02   26.84 um     1.24 um     1.70 um  
   3.50 MeV   7.554E+01  5.735E-02   30.05 um     1.37 um     1.87 um  
   3.75 MeV   7.242E+01  5.405E-02   33.40 um     1.49 um     2.05 um  
   4.00 MeV   6.958E+01  5.112E-02   36.90 um     1.61 um     2.24 um  
   4.50 MeV   6.462E+01  4.617E-02   44.30 um     2.01 um     2.63 um  
   5.00 MeV   6.042E+01  4.215E-02   52.25 um     2.38 um     3.05 um  
   5.50 MeV   5.681E+01  3.880E-02   60.73 um     2.76 um     3.48 um  
   6.00 MeV   5.367E+01  3.597E-02   69.72 um     3.13 um     3.94 um  
   6.50 MeV   5.090E+01  3.355E-02   79.23 um     3.50 um     4.42 um  
   7.00 MeV   4.845E+01  3.145E-02   89.23 um     3.87 um     4.93 um  
   8.00 MeV   4.428E+01  2.798E-02  110.70 um     5.10 um     5.99 um  
   9.00 MeV   4.085E+01  2.524E-02  134.07 um     6.26 um     7.14 um  
  10.00 MeV   3.798E+01  2.301E-02  159.32 um     7.40 um     8.37 um  
  11.00 MeV   3.554E+01  2.116E-02  186.39 um     8.54 um     9.67 um  
  12.00 MeV   3.342E+01  1.960E-02  215.25 um     9.69 um    11.04 um  
  13.00 MeV   3.158E+01  1.826E-02  245.86 um    10.85 um    12.49 um  
  14.00 MeV   2.995E+01  1.711E-02  278.21 um    12.02 um    14.01 um  
  15.00 MeV   2.850E+01  1.610E-02  312.26 um    13.21 um    15.60 um  
  16.00 MeV   2.720E+01  1.520E-02  347.98 um    14.42 um    17.26 um  
  17.00 MeV   2.603E+01  1.441E-02  385.37 um    15.65 um    18.98 um  
  18.00 MeV   2.497E+01  1.370E-02  424.39 um    16.89 um    20.77 um  
  20.00 MeV   2.312E+01  1.247E-02  507.24 um    21.13 um    24.56 um  
  22.50 MeV   2.119E+01  1.123E-02  619.67 um    27.14 um    29.65 um  
  25.00 MeV   1.959E+01  1.023E-02  741.80 um    32.89 um    35.13 um  
  27.50 MeV   1.825E+01  9.393E-03  873.41 um    38.57 um    40.99 um  
  30.00 MeV   1.709E+01  8.691E-03    1.01 mm    44.24 um    47.22 um  
  32.50 MeV   1.609E+01  8.091E-03    1.16 mm    49.95 um    53.81 um  
  35.00 MeV   1.522E+01  7.572E-03    1.32 mm    55.71 um    60.76 um  
  37.50 MeV   1.444E+01  7.119E-03    1.49 mm    61.56 um    68.06 um  
  40.00 MeV   1.375E+01  6.719E-03    1.67 mm    67.49 um    75.71 um  
  45.00 MeV   1.257E+01  6.045E-03    2.05 mm    88.10 um    92.00 um  
  50.00 MeV   1.160E+01  5.499E-03    2.46 mm   107.69 um   109.61 um  
  55.00 MeV   1.079E+01  5.047E-03    2.90 mm   126.92 um   128.49 um  
  60.00 MeV   1.009E+01  4.667E-03    3.38 mm   146.08 um   148.60 um  
  65.00 MeV   9.493E+00  4.342E-03    3.89 mm   165.34 um   169.92 um  
  70.00 MeV   8.970E+00  4.062E-03    4.43 mm   184.77 um   192.41 um  
  80.00 MeV   8.101E+00  3.600E-03    5.60 mm   252.72 um   240.83 um  
  90.00 MeV   7.405E+00  3.237E-03    6.89 mm   316.50 um   293.66 um  
 100.00 MeV   6.836E+00  2.942E-03    8.29 mm   378.87 um   350.72 um  
 110.00 MeV   6.360E+00  2.699E-03    9.80 mm   440.96 um   411.85 um  
 120.00 MeV   5.957E+00  2.494E-03   11.42 mm   503.31 um   476.91 um  
 130.00 MeV   5.610E+00  2.319E-03   13.14 mm   566.21 um   545.77 um  
 140.00 MeV   5.308E+00  2.168E-03   14.97 mm   629.81 um   618.29 um  
 150.00 MeV   5.043E+00  2.037E-03   16.89 mm   694.19 um   694.36 um  
 160.00 MeV   4.809E+00  1.920E-03   18.92 mm   759.38 um   773.87 um  
 170.00 MeV   4.600E+00  1.817E-03   21.03 mm   825.42 um   856.71 um  
 180.00 MeV   4.412E+00  1.725E-03   23.25 mm   892.28 um   942.78 um  
 200.00 MeV   4.089E+00  1.567E-03   27.94 mm     1.13 mm     1.12 mm  
 225.00 MeV   3.760E+00  1.408E-03   34.30 mm     1.47 mm     1.37 mm  
 250.00 MeV   3.493E+00  1.279E-03   41.17 mm     1.78 mm     1.63 mm  
 275.00 MeV   3.271E+00  1.172E-03   48.55 mm     2.09 mm     1.91 mm  
