 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Helium (gas).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.50 MeV   1.504E-01  1.292E-04   14.03 mm   527.12 um   166.29 um  
   3.75 MeV   1.425E-01  1.215E-04   15.73 mm   580.98 um   181.82 um  
   4.00 MeV   1.358E-01  1.146E-04   17.53 mm   635.39 um   198.31 um  
   4.50 MeV   1.243E-01  1.031E-04   21.37 mm   838.87 um   233.95 um  
   5.00 MeV   1.148E-01  9.383E-05   25.56 mm     1.03 mm   272.96 um  
   5.50 MeV   1.067E-01  8.612E-05   30.07 mm     1.21 mm   315.18 um  
   6.00 MeV   9.977E-02  7.963E-05   34.92 mm     1.40 mm   360.48 um  
   6.50 MeV   9.376E-02  7.409E-05   40.08 mm     1.58 mm   408.75 um  
   7.00 MeV   8.849E-02  6.930E-05   45.57 mm     1.76 mm   459.93 um  
   8.00 MeV   7.967E-02  6.143E-05   57.47 mm     2.44 mm   570.80 um  
   9.00 MeV   7.258E-02  5.522E-05   70.62 mm     3.08 mm   692.64 um  
  10.00 MeV   6.674E-02  5.020E-05   84.98 mm     3.69 mm   825.14 um  
  11.00 MeV   6.183E-02  4.605E-05  100.54 mm     4.31 mm   968.05 um  
  12.00 MeV   5.765E-02  4.255E-05  117.28 mm     4.92 mm     1.12 mm  
  13.00 MeV   5.405E-02  3.957E-05  135.19 mm     5.54 mm     1.28 mm  
  14.00 MeV   5.090E-02  3.699E-05  154.24 mm     6.17 mm     1.46 mm  
  15.00 MeV   4.813E-02  3.475E-05  174.43 mm     6.81 mm     1.64 mm  
  16.00 MeV   4.567E-02  3.276E-05  195.75 mm     7.46 mm     1.83 mm  
  17.00 MeV   4.346E-02  3.101E-05  218.19 mm     8.12 mm     2.03 mm  
  18.00 MeV   4.148E-02  2.943E-05  241.72 mm     8.79 mm     2.25 mm  
  20.00 MeV   3.805E-02  2.674E-05  292.04 mm    11.33 mm     2.70 mm  
  22.50 MeV   3.455E-02  2.402E-05  360.97 mm    14.98 mm     3.31 mm  
  25.00 MeV   3.168E-02  2.181E-05  436.52 mm    18.43 mm     3.98 mm  
  27.50 MeV   2.928E-02  1.999E-05  518.57 mm    21.81 mm     4.70 mm  
  30.00 MeV   2.725E-02  1.847E-05  607.05 mm    25.18 mm     5.48 mm  
  32.50 MeV   2.550E-02  1.716E-05  701.84 mm    28.57 mm     6.31 mm  
  35.00 MeV   2.399E-02  1.604E-05  802.88 mm    31.98 mm     7.20 mm  
  37.50 MeV   2.265E-02  1.505E-05  910.08 mm    35.44 mm     8.13 mm  
  40.00 MeV   2.147E-02  1.419E-05    1.02 m     38.94 mm     9.11 mm  
  45.00 MeV   1.947E-02  1.274E-05    1.27 m     52.17 mm    11.23 mm  
  50.00 MeV   1.784E-02  1.156E-05    1.54 m     64.60 mm    13.55 mm  
  55.00 MeV   1.649E-02  1.059E-05    1.83 m     76.73 mm    16.05 mm  
  60.00 MeV   1.534E-02  9.779E-06    2.14 m     88.79 mm    18.74 mm  
  65.00 MeV   1.435E-02  9.085E-06    2.48 m    100.89 mm    21.61 mm  
  70.00 MeV   1.350E-02  8.486E-06    2.84 m    113.08 mm    24.66 mm  
  80.00 MeV   1.209E-02  7.504E-06    3.62 m    158.50 mm    31.30 mm  
  90.00 MeV   1.097E-02  6.732E-06    4.49 m    200.77 mm    38.62 mm  
 100.00 MeV   1.006E-02  6.109E-06    5.44 m    242.00 mm    46.60 mm  
 110.00 MeV   9.305E-03  5.594E-06    6.47 m    283.02 mm    55.22 mm  
 120.00 MeV   8.667E-03  5.162E-06    7.59 m    324.21 mm    64.48 mm  
 130.00 MeV   8.121E-03  4.794E-06    8.78 m    365.76 mm    74.35 mm  
 140.00 MeV   7.648E-03  4.477E-06   10.05 m    407.79 mm    84.82 mm  
 150.00 MeV   7.234E-03  4.200E-06   11.39 m    450.35 mm    95.87 mm  
