 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron_in_Ice.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.2000E-01 g/cm3 = 4.9250E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    025.00    059.96   
      H      1    050.00    004.48   
      O      8    025.00    035.56   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   1.619E+01  1.291E-02  102.94 um     4.22 um     3.69 um  
   2.75 MeV   1.533E+01  1.187E-02  118.77 um     4.85 um     4.17 um  
   3.00 MeV   1.456E+01  1.100E-02  135.45 um     5.46 um     4.68 um  
   3.25 MeV   1.386E+01  1.025E-02  153.00 um     6.07 um     5.20 um  
   3.50 MeV   1.322E+01  9.601E-03  171.42 um     6.69 um     5.74 um  
   3.75 MeV   1.262E+01  9.034E-03  190.73 um     7.30 um     6.30 um  
   4.00 MeV   1.207E+01  8.534E-03  210.94 um     7.93 um     6.89 um  
   4.50 MeV   1.111E+01  7.689E-03  254.01 um    10.15 um     8.12 um  
   5.00 MeV   1.030E+01  7.004E-03  300.66 um    12.26 um     9.44 um  
   5.50 MeV   9.601E+00  6.436E-03  350.85 um    14.33 um    10.84 um  
   6.00 MeV   9.002E+00  5.957E-03  404.52 um    16.39 um    12.33 um  
   6.50 MeV   8.481E+00  5.547E-03  461.63 um    18.46 um    13.90 um  
   7.00 MeV   8.022E+00  5.193E-03  522.12 um    20.54 um    15.56 um  
   8.00 MeV   7.254E+00  4.610E-03  652.97 um    28.00 um    19.12 um  
   9.00 MeV   6.633E+00  4.150E-03  796.88 um    34.98 um    23.00 um  
  10.00 MeV   6.120E+00  3.776E-03  953.56 um    41.80 um    27.19 um  
  11.00 MeV   5.687E+00  3.467E-03    1.12 mm    48.58 um    31.69 um  
  12.00 MeV   5.318E+00  3.207E-03    1.30 mm    55.40 um    36.48 um  
  13.00 MeV   4.998E+00  2.985E-03    1.50 mm    62.28 um    41.57 um  
  14.00 MeV   4.718E+00  2.792E-03    1.70 mm    69.26 um    46.95 um  
  15.00 MeV   4.471E+00  2.624E-03    1.92 mm    76.33 um    52.62 um  
  16.00 MeV   4.251E+00  2.476E-03    2.15 mm    83.51 um    58.56 um  
  17.00 MeV   4.053E+00  2.345E-03    2.39 mm    90.81 um    64.78 um  
  18.00 MeV   3.875E+00  2.227E-03    2.64 mm    98.21 um    71.27 um  
  20.00 MeV   3.566E+00  2.025E-03    3.18 mm   125.42 um    85.06 um  
  22.50 MeV   3.249E+00  1.821E-03    3.91 mm   164.29 um   103.78 um  
  25.00 MeV   2.988E+00  1.655E-03    4.71 mm   201.20 um   124.10 um  
  27.50 MeV   2.770E+00  1.519E-03    5.58 mm   237.42 um   145.99 um  
  30.00 MeV   2.584E+00  1.403E-03    6.51 mm   273.52 um   169.41 um  
  32.50 MeV   2.424E+00  1.305E-03    7.51 mm   309.78 um   194.34 um  
  35.00 MeV   2.284E+00  1.220E-03    8.57 mm   346.38 um   220.74 um  
  37.50 MeV   2.162E+00  1.146E-03    9.70 mm   383.42 um   248.59 um  
  40.00 MeV   2.053E+00  1.081E-03   10.88 mm   420.96 um   277.87 um  
  45.00 MeV   1.868E+00  9.712E-04   13.43 mm   558.96 um   340.65 um  
  50.00 MeV   1.716E+00  8.824E-04   16.22 mm   688.99 um   408.89 um  
  55.00 MeV   1.590E+00  8.090E-04   19.24 mm   816.04 um   482.45 um  
  60.00 MeV   1.483E+00  7.473E-04   22.49 mm   942.31 um   561.20 um  
  65.00 MeV   1.391E+00  6.947E-04   25.97 mm     1.07 mm   645.02 um  
  70.00 MeV   1.312E+00  6.492E-04   29.67 mm     1.20 mm   733.78 um  
  80.00 MeV   1.179E+00  5.747E-04   37.70 mm     1.66 mm   925.78 um  
  90.00 MeV   1.074E+00  5.160E-04   46.57 mm     2.10 mm     1.14 mm  
 100.00 MeV   9.888E-01  4.685E-04   56.26 mm     2.52 mm     1.36 mm  
 110.00 MeV   9.176E-01  4.293E-04   66.75 mm     2.94 mm     1.61 mm  
 120.00 MeV   8.575E-01  3.964E-04   78.01 mm     3.36 mm     1.87 mm  
 130.00 MeV   8.059E-01  3.684E-04   90.02 mm     3.78 mm     2.15 mm  
 140.00 MeV   7.613E-01  3.441E-04  102.77 mm     4.21 mm     2.45 mm  
 150.00 MeV   7.221E-01  3.230E-04  116.24 mm     4.64 mm     2.76 mm  
 160.00 MeV   6.876E-01  3.044E-04  130.42 mm     5.08 mm     3.08 mm  
 170.00 MeV   6.568E-01  2.879E-04  145.28 mm     5.52 mm     3.42 mm  
 180.00 MeV   6.293E-01  2.732E-04  160.81 mm     5.96 mm     3.77 mm  
 200.00 MeV   5.819E-01  2.479E-04  193.83 mm     7.62 mm     4.52 mm  
 225.00 MeV   5.339E-01  2.224E-04  238.63 mm     9.97 mm     5.52 mm  
 250.00 MeV   4.950E-01  2.018E-04  287.21 mm    12.17 mm     6.59 mm  
 275.00 MeV   4.629E-01  1.849E-04  339.38 mm    14.29 mm     7.74 mm  
 300.00 MeV   4.358E-01  1.706E-04  394.99 mm    16.38 mm     8.95 mm  
 325.00 MeV   4.127E-01  1.584E-04  453.88 mm    18.45 mm    10.22 mm  
 350.00 MeV   3.928E-01  1.480E-04  515.90 mm    20.50 mm    11.55 mm  
 375.00 MeV   3.754E-01  1.388E-04  580.94 mm    22.55 mm    12.93 mm  
 400.00 MeV   3.601E-01  1.308E-04  648.86 mm    24.60 mm    14.36 mm  
 450.00 MeV   3.345E-01  1.173E-04  792.79 mm    32.08 mm    17.37 mm  
 500.00 MeV   3.139E-01  1.064E-04  946.96 mm    38.95 mm    20.54 mm  
 550.00 MeV   2.970E-01  9.739E-05    1.11 m     45.47 mm    23.85 mm  
 600.00 MeV   2.828E-01  8.985E-05    1.28 m     51.76 mm    27.30 mm  
 650.00 MeV   2.708E-01  8.342E-05    1.46 m     57.89 mm    30.87 mm  
 700.00 MeV   2.606E-01  7.788E-05    1.65 m     63.90 mm    34.53 mm  
 800.00 MeV   2.439E-01  6.880E-05    2.05 m     85.33 mm    42.12 mm  
 900.00 MeV   2.311E-01  6.167E-05    2.47 m    104.37 mm    49.99 mm  
   1.00 GeV   2.209E-01  5.592E-05    2.91 m    122.01 mm    58.08 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0870E-02                keV / (ug/cm2) 
  1.0870E-02                MeV / (mg/cm2) 
  1.0870E+01                keV / (mg/cm2) 
  2.0305E-01                 eV / (1E15 atoms/cm2)
  5.6721E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
