 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in  Havar.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 140.00 MeV   1.128E+04  1.202E+01   13.24 um     4570 A      4514 A   
 150.00 MeV   1.106E+04  1.133E+01   14.13 um     4759 A      4596 A   
 160.00 MeV   1.085E+04  1.072E+01   15.04 um     4949 A      4678 A   
 170.00 MeV   1.064E+04  1.017E+01   15.97 um     5138 A      4761 A   
 180.00 MeV   1.044E+04  9.681E+00   16.92 um     5327 A      4844 A   
 200.00 MeV   1.006E+04  8.838E+00   18.87 um     6030 A      5013 A   
 225.00 MeV   9.607E+03  7.981E+00   21.41 um     7057 A      5231 A   
 250.00 MeV   9.198E+03  7.283E+00   24.06 um     8030 A      5456 A   
 275.00 MeV   8.826E+03  6.703E+00   26.84 um     8971 A      5690 A   
 300.00 MeV   8.487E+03  6.213E+00   29.72 um     9890 A      5933 A   
 325.00 MeV   8.177E+03  5.794E+00   32.72 um     1.08 um     6184 A   
 350.00 MeV   7.893E+03  5.430E+00   35.83 um     1.17 um     6445 A   
 375.00 MeV   7.633E+03  5.112E+00   39.05 um     1.26 um     6715 A   
 400.00 MeV   7.393E+03  4.830E+00   42.37 um     1.35 um     6994 A   
 450.00 MeV   6.966E+03  4.356E+00   49.34 um     1.67 um     7579 A   
 500.00 MeV   6.596E+03  3.970E+00   56.71 um     1.98 um     8199 A   
 550.00 MeV   6.271E+03  3.650E+00   64.48 um     2.27 um     8852 A   
 600.00 MeV   5.983E+03  3.380E+00   72.64 um     2.55 um     9538 A   
 650.00 MeV   5.725E+03  3.149E+00   81.18 um     2.83 um     1.03 um  
 700.00 MeV   5.491E+03  2.950E+00   90.09 um     3.10 um     1.10 um  
 800.00 MeV   5.081E+03  2.620E+00  109.02 um     4.11 um     1.26 um  
 900.00 MeV   4.732E+03  2.360E+00  129.41 um     5.03 um     1.43 um  
   1.00 GeV   4.428E+03  2.149E+00  151.25 um     5.92 um     1.61 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.2049E-03                keV / (ug/cm2) 
  1.2049E-03                MeV / (mg/cm2) 
  1.2049E+00                keV / (mg/cm2) 
  1.1587E-01                 eV / (1E15 atoms/cm2)
  2.4161E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
