 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Aluminum.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 550.00 MeV   1.004E+00  3.523E-04  319.37 mm    13.22 mm     6.79 mm  
 600.00 MeV   9.495E-01  3.251E-04  370.54 mm    15.13 mm     7.81 mm  
 650.00 MeV   9.031E-01  3.019E-04  424.49 mm    17.00 mm     8.88 mm  
 700.00 MeV   8.631E-01  2.819E-04  481.07 mm    18.85 mm    10.00 mm  
 800.00 MeV   7.978E-01  2.492E-04  601.49 mm    25.51 mm    12.33 mm  
 900.00 MeV   7.468E-01  2.234E-04  730.95 mm    31.51 mm    14.80 mm  
   1.00 GeV   7.060E-01  2.026E-04  868.57 mm    37.15 mm    17.37 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  3.8495E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
