 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Ice.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  35.00 MeV   1.592E+00  8.337E-04   12.09 mm   491.98 um   303.40 um  
  37.50 MeV   1.506E+00  7.828E-04   13.70 mm   545.20 um   342.83 um  
  40.00 MeV   1.429E+00  7.379E-04   15.40 mm   599.11 um   384.32 um  
  45.00 MeV   1.300E+00  6.625E-04   19.07 mm   797.90 um   473.33 um  
  50.00 MeV   1.195E+00  6.015E-04   23.07 mm   984.81 um   570.14 um  
  55.00 MeV   1.108E+00  5.512E-04   27.41 mm     1.17 mm   674.47 um  
  60.00 MeV   1.034E+00  5.089E-04   32.08 mm     1.35 mm   786.07 um  
  65.00 MeV   9.712E-01  4.728E-04   37.06 mm     1.53 mm   904.71 um  
  70.00 MeV   9.166E-01  4.417E-04   42.35 mm     1.71 mm     1.03 mm  
  80.00 MeV   8.268E-01  3.907E-04   53.83 mm     2.37 mm     1.30 mm  
  90.00 MeV   7.558E-01  3.506E-04   66.46 mm     2.99 mm     1.60 mm  
 100.00 MeV   6.983E-01  3.181E-04   80.21 mm     3.58 mm     1.92 mm  
 110.00 MeV   6.507E-01  2.914E-04   95.03 mm     4.17 mm     2.26 mm  
 120.00 MeV   6.107E-01  2.689E-04  110.87 mm     4.75 mm     2.62 mm  
 130.00 MeV   5.765E-01  2.498E-04  127.71 mm     5.34 mm     3.00 mm  
 140.00 MeV   5.470E-01  2.333E-04  145.50 mm     5.92 mm     3.40 mm  
 150.00 MeV   5.212E-01  2.189E-04  164.20 mm     6.51 mm     3.82 mm  
 160.00 MeV   4.986E-01  2.062E-04  183.79 mm     7.11 mm     4.26 mm  
 170.00 MeV   4.785E-01  1.950E-04  204.24 mm     7.70 mm     4.71 mm  
 180.00 MeV   4.606E-01  1.849E-04  225.52 mm     8.30 mm     5.18 mm  
 200.00 MeV   4.299E-01  1.678E-04  270.42 mm    10.50 mm     6.16 mm  
 225.00 MeV   3.990E-01  1.504E-04  330.73 mm    13.60 mm     7.46 mm  
 250.00 MeV   3.742E-01  1.364E-04  395.36 mm    16.45 mm     8.83 mm  
 275.00 MeV   3.538E-01  1.249E-04  464.00 mm    19.17 mm    10.27 mm  
 300.00 MeV   3.368E-01  1.152E-04  536.35 mm    21.81 mm    11.77 mm  
 325.00 MeV   3.224E-01  1.070E-04  612.14 mm    24.38 mm    13.32 mm  
 350.00 MeV   3.101E-01  9.987E-05  691.13 mm    26.90 mm    14.91 mm  
 375.00 MeV   2.994E-01  9.367E-05  773.10 mm    29.37 mm    16.54 mm  
 400.00 MeV   2.901E-01  8.822E-05  857.85 mm    31.81 mm    18.21 mm  
 450.00 MeV   2.747E-01  7.907E-05    1.03 m     40.64 mm    21.63 mm  
 500.00 MeV   2.625E-01  7.169E-05    1.22 m     48.57 mm    25.15 mm  
 550.00 MeV   2.526E-01  6.561E-05    1.41 m     55.94 mm    28.75 mm  
 600.00 MeV   2.445E-01  6.050E-05    1.62 m     62.91 mm    32.39 mm  
 650.00 MeV   2.378E-01  5.616E-05    1.82 m     69.56 mm    36.07 mm  
 700.00 MeV   2.322E-01  5.241E-05    2.04 m     75.95 mm    39.77 mm  
 800.00 MeV   2.233E-01  4.628E-05    2.47 m     98.37 mm    47.20 mm  
