 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Al.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 130.00 MeV   4.428E+03  4.277E+00   29.24 um     9021 A      5391 A   
 140.00 MeV   4.336E+03  4.011E+00   31.52 um     9599 A      5542 A   
 150.00 MeV   4.247E+03  3.778E+00   33.85 um     1.02 um     5694 A   
 160.00 MeV   4.161E+03  3.572E+00   36.23 um     1.07 um     5846 A   
 170.00 MeV   4.078E+03  3.388E+00   38.65 um     1.13 um     6000 A   
 180.00 MeV   3.997E+03  3.223E+00   41.13 um     1.18 um     6156 A   
 200.00 MeV   3.844E+03  2.940E+00   46.22 um     1.39 um     6473 A   
 225.00 MeV   3.668E+03  2.652E+00   52.88 um     1.68 um     6880 A   
 250.00 MeV   3.507E+03  2.418E+00   59.85 um     1.95 um     7300 A   
 275.00 MeV   3.359E+03  2.224E+00   67.13 um     2.21 um     7735 A   
 300.00 MeV   3.223E+03  2.060E+00   74.72 um     2.46 um     8185 A   
 325.00 MeV   3.099E+03  1.920E+00   82.63 um     2.71 um     8651 A   
 350.00 MeV   2.984E+03  1.799E+00   90.84 um     2.95 um     9132 A   
 375.00 MeV   2.877E+03  1.692E+00   99.37 um     3.19 um     9629 A   
 400.00 MeV   2.779E+03  1.598E+00  108.21 um     3.43 um     1.01 um  
 450.00 MeV   2.601E+03  1.440E+00  126.80 um     4.33 um     1.12 um  
 500.00 MeV   2.447E+03  1.312E+00  146.61 um     5.16 um     1.23 um  
 550.00 MeV   2.310E+03  1.205E+00  167.64 um     5.96 um     1.35 um  
 600.00 MeV   2.189E+03  1.116E+00  189.87 um     6.75 um     1.48 um  
 650.00 MeV   2.081E+03  1.039E+00  213.29 um     7.52 um     1.61 um  
 700.00 MeV   1.983E+03  9.725E-01  237.90 um     8.30 um     1.75 um  
 800.00 MeV   1.815E+03  8.633E-01  290.61 um    11.17 um     2.04 um  
 900.00 MeV   1.675E+03  7.770E-01  347.96 um    13.81 um     2.36 um  
   1.00 GeV   1.558E+03  7.071E-01  409.87 um    16.37 um     2.70 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  4.6784E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
