 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron_in_Helium500Torr.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   1.095E-01  9.119E-05   13.64 mm   548.86 um   189.66 um  
   2.75 MeV   1.020E-01  8.374E-05   16.00 mm   644.85 um   216.14 um  
   3.00 MeV   9.555E-02  7.747E-05   18.53 mm   739.83 um   244.68 um  
   3.25 MeV   8.993E-02  7.211E-05   21.23 mm   834.71 um   275.20 um  
   3.50 MeV   8.498E-02  6.747E-05   24.08 mm   930.03 um   307.62 um  
   3.75 MeV   8.060E-02  6.342E-05   27.10 mm     1.03 mm   341.89 um  
   4.00 MeV   7.668E-02  5.985E-05   30.28 mm     1.12 mm   377.95 um  
   4.50 MeV   6.997E-02  5.384E-05   37.10 mm     1.49 mm   455.36 um  
   5.00 MeV   6.443E-02  4.896E-05   44.54 mm     1.83 mm   539.57 um  
   5.50 MeV   5.977E-02  4.493E-05   52.60 mm     2.16 mm   630.36 um  
   6.00 MeV   5.578E-02  4.154E-05   61.25 mm     2.49 mm   727.60 um  
   6.50 MeV   5.234E-02  3.865E-05   70.50 mm     2.82 mm   831.14 um  
   7.00 MeV   4.933E-02  3.614E-05   80.33 mm     3.15 mm   940.88 um  
   8.00 MeV   4.431E-02  3.203E-05  101.71 mm     4.38 mm     1.18 mm  
   9.00 MeV   4.029E-02  2.879E-05  125.36 mm     5.53 mm     1.44 mm  
  10.00 MeV   3.699E-02  2.616E-05  151.25 mm     6.65 mm     1.73 mm  
  11.00 MeV   3.423E-02  2.400E-05  179.34 mm     7.76 mm     2.03 mm  
  12.00 MeV   3.188E-02  2.217E-05  209.60 mm     8.88 mm     2.36 mm  
  13.00 MeV   2.986E-02  2.062E-05  241.99 mm    10.01 mm     2.71 mm  
  14.00 MeV   2.810E-02  1.927E-05  276.49 mm    11.16 mm     3.09 mm  
  15.00 MeV   2.655E-02  1.810E-05  313.08 mm    12.33 mm     3.48 mm  
  16.00 MeV   2.518E-02  1.706E-05  351.73 mm    13.51 mm     3.90 mm  
  17.00 MeV   2.395E-02  1.615E-05  392.43 mm    14.71 mm     4.34 mm  
  18.00 MeV   2.285E-02  1.533E-05  435.15 mm    15.94 mm     4.79 mm  
  20.00 MeV   2.094E-02  1.392E-05  526.54 mm    20.58 mm     5.77 mm  
  22.50 MeV   1.900E-02  1.250E-05  651.82 mm    27.23 mm     7.10 mm  
  25.00 MeV   1.741E-02  1.135E-05  789.22 mm    33.53 mm     8.56 mm  
  27.50 MeV   1.609E-02  1.041E-05  938.54 mm    39.70 mm    10.14 mm  
  30.00 MeV   1.497E-02  9.609E-06    1.10 m     45.86 mm    11.83 mm  
  32.50 MeV   1.401E-02  8.929E-06    1.27 m     52.05 mm    13.64 mm  
  35.00 MeV   1.317E-02  8.343E-06    1.46 m     58.29 mm    15.56 mm  
  37.50 MeV   1.244E-02  7.831E-06    1.65 m     64.61 mm    17.59 mm  
  40.00 MeV   1.179E-02  7.381E-06    1.86 m     71.02 mm    19.74 mm  
  45.00 MeV   1.069E-02  6.624E-06    2.30 m     95.14 mm    24.35 mm  
  50.00 MeV   9.800E-03  6.013E-06    2.79 m    117.80 mm    29.39 mm  
  55.00 MeV   9.059E-03  5.508E-06    3.32 m    139.92 mm    34.84 mm  
  60.00 MeV   8.432E-03  5.084E-06    3.89 m    161.89 mm    40.69 mm  
  65.00 MeV   7.895E-03  4.723E-06    4.51 m    183.92 mm    46.94 mm  
  70.00 MeV   7.429E-03  4.411E-06    5.16 m    206.10 mm    53.57 mm  
  80.00 MeV   6.661E-03  3.900E-06    6.58 m    288.51 mm    67.96 mm  
  90.00 MeV   6.054E-03  3.498E-06    8.15 m    365.10 mm    83.81 mm  
 100.00 MeV   5.560E-03  3.174E-06    9.88 m    439.67 mm   101.07 mm  
 110.00 MeV   5.151E-03  2.907E-06   11.75 m    513.72 mm   119.68 mm  
 120.00 MeV   4.805E-03  2.682E-06   13.75 m    587.92 mm   139.60 mm  
 130.00 MeV   4.510E-03  2.490E-06   15.90 m    662.62 mm   160.80 mm  
 140.00 MeV   4.255E-03  2.325E-06   18.18 m    738.00 mm   183.23 mm  
 150.00 MeV   4.031E-03  2.181E-06   20.60 m    814.16 mm   206.85 mm  
 160.00 MeV   3.835E-03  2.055E-06   23.14 m    891.14 mm   231.64 mm  
 170.00 MeV   3.660E-03  1.943E-06   25.81 m    968.94 mm   257.55 mm  
 180.00 MeV   3.503E-03  1.842E-06   28.60 m      1.05 m    284.56 mm  
 200.00 MeV   3.234E-03  1.671E-06   34.54 m      1.35 m    341.77 mm  
 225.00 MeV   2.963E-03  1.498E-06   42.61 m      1.77 m    418.96 mm  
 250.00 MeV   2.743E-03  1.358E-06   51.38 m      2.16 m    502.06 mm  
 275.00 MeV   2.562E-03  1.243E-06   60.81 m      2.54 m    590.69 mm  
 300.00 MeV   2.409E-03  1.147E-06   70.87 m      2.92 m    684.51 mm  
 325.00 MeV   2.279E-03  1.064E-06   81.54 m      3.29 m    783.21 mm  
 350.00 MeV   2.167E-03  9.935E-07   92.78 m      3.66 m    886.48 mm  
 375.00 MeV   2.070E-03  9.317E-07  104.58 m      4.02 m    994.07 mm  
 400.00 MeV   1.984E-03  8.773E-07  116.92 m      4.39 m      1.11 m   
 450.00 MeV   1.841E-03  7.862E-07  143.07 m      5.75 m      1.34 m   
 500.00 MeV   1.725E-03  7.127E-07  171.13 m      6.99 m      1.59 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.8878E+00                keV / (ug/cm2) 
  2.8878E+00                MeV / (mg/cm2) 
  2.8878E+03                keV / (mg/cm2) 
  1.4386E+01                 eV / (1E15 atoms/cm2)
  3.4182E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
